iter	Passed	Remaining
1123	5985	47268
1124	5992	47273
1125	5998	47277
1126	6005	47279
1127	6009	47267
1128	6014	47255
1129	6018	47243
1130	6023	47233
1131	6028	47224
1132	6032	47211
1133	6036	47197
1134	6041	47185
1135	6045	47172
1136	6050	47161
1137	6054	47147
1138	6058	47135
1139	6063	47123
1140	6067	47111
1141	6072	47101
1142	6076	47088
1143	6081	47076
1144	6085	47062
1145	6089	47048
1146	6094	47037
1147	6098	47024
1148	6103	47013
1149	6109	47014
1150	6115	47017
1151	6119	46999
1152	6125	46997
1153	6131	46998
1154	6137	46997
1155	6142	46990
1156	6147	46988
1157	6154	46990
1158	6160	46990
1159	6164	46977
1160	6168	46966
1161	6173	46953
1162	6177	46940
1163	6181	46927
1164	6186	46914
1165	6190	46903
1166	6196	46898
1167	6204	46919
1168	6211	46922
1169	6219	46939
1170	6226	46944
1171	6235	46968
1172	6245	46995
1173	6257	47041
1174	6263	47044
1175	6276	47095
1176	6284	47111
1177	6291	47113
1178	6305	47178
1179	6324	47269
1180	6334	47299
1181	6340	47304
1182	6350	47334
1183	6356	47329
1184	6363	47339
1185	6367	47324
1186	6372	47311
1187	6376	47299
1188	6381	47285
1189	6385	47273
1190	6389	47259
1191	6394	47248
1192	6398	47233
1193	6402	47223
1194	6409	47224
1195	6415	47226
1196	6421	47227
1197	6429	47240
1198	6437	47251
1199	6441	47237
1200	6445	47224
1201	6449	47210
1202	6455	47205
1203	6460	47195
1204	6464	47182
1205	6468	47169
1206	6472	47155
1207	6477	47144
1208	6482	47132
1209	6486	47121
1210	6491	47109
1211	6493	47081
1212	6497	47068
1213	6501	47056
1214	6506	47044
1215	6510	47032
1216	6515	47020
1217	6519	47007
1218	6523	46995
1219	6528	46982
1220	6532	46970
1221	6537	46960
1222	6541	46946
1223	6546	46934
1224	6550	46922
1225	6554	46910
1226	6559	46897
1227	6561	46869
1228	6565	46858
1229	6570	46845
1230	6574	46832
1231	6578	46821
1232	6583	46809
1233	6587	46798
1234	6594	46802
1235	6600	46800
1236	6606	46801
1237	6613	46804
1238	6621	46824
1239	6627	46820
1240	6629	46793
1241	6634	46781
1242	6638	46769
1243	6643	46757
1244	6647	46744
1245	6651	46732
1246	6655	46719
1247	6660	46706
1248	6664	46694
1249	6669	46683
1250	6673	46671
1251	6677	46659
1252	6682	46647
1253	6685	46630
1254	6690	46619
1255	6694	46607
1256	6698	46594
1257	6703	46582
1258	6707	46570
1259	6710	46547
1260	6715	46536
1261	6719	46525
1262	6723	46511
1263	6728	46500
1264	6732	46489
1265	6735	46467
1266	6740	46456
1267	6744	46443
1268	6748	46430
1269	6752	46418
1270	6756	46405
1271	6761	46394
1272	6765	46383
1273	6770	46372
1274	6775	46368
1275	6781	46364
1276	6787	46364
1277	6793	46366
1278	6804	46397
1279	6809	46391
1280	6814	46381
1281	6819	46371
1282	6823	46360
1283	6826	46339
1284	6831	46328
1285	6841	46357
1286	6846	46348
1287	6850	46335
1288	6854	46323
1289	6858	46311
1290	6863	46298
1291	6867	46285
1292	6871	46273
1293	6875	46260
1294	6880	46249
1295	6884	46239
1296	6889	46226
1297	6893	46214
1298	6897	46202
1299	6902	46191
1300	6906	46179
1301	6910	46168
1302	6915	46156
1303	6919	46145
1304	6923	46132
1305	6928	46121
1306	6932	46110
1307	6937	46099
1308	6941	46088
1309	6945	46076
1310	6949	46059
1311	6953	46048
1312	6958	46038
1313	6965	46047
1314	6972	46048
1315	6977	46045
1316	6985	46057
1317	6994	46074
1318	6999	46066
1319	7004	46060
